epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,839.039,1.84645,2.29829,1.92426,0.41108,0.38635,0.3445,0.13018,1.629,4.56086,1.63467,0.000333179,0.000333179,0.0670153
2,1675.66,1.80239,2.14915,1.88978,0.52673,0.41281,0.40627,0.17089,1.59615,2.76086,1.60635,0.000666439,0.000666439,0.0340153
3,2509.92,1.75961,2.06201,1.83343,0.53767,0.48875,0.49166,0.21226,1.53222,5.01282,1.52511,0.000999411,0.000999411,0.00101489
4,3342.73,1.71203,1.95916,1.79934,0.56383,0.49313,0.51094,0.21962,1.52135,4.22771,1.50456,0.000999023,0.000999023,0.000999023
5,4175.78,1.6823,1.88392,1.76284,0.586,0.52104,0.54644,0.24841,1.44214,2.57574,1.4375,0.000998264,0.000998264,0.000998264
6,5015.12,1.65544,1.80159,1.74042,0.62216,0.56282,0.60353,0.29025,1.39859,2.61731,1.40666,0.000997288,0.000997288,0.000997288
7,5845.16,1.64043,1.78115,1.7291,0.61621,0.56226,0.59775,0.29179,1.3805,2.02932,1.38355,0.000996097,0.000996097,0.000996097
8,6678.24,1.6166,1.72722,1.71581,0.61748,0.56396,0.61144,0.30145,1.36553,2.49044,1.3729,0.00099469,0.00099469,0.00099469
9,7511.49,1.60584,1.71713,1.69768,0.64222,0.60065,0.64599,0.31981,1.3433,2.11607,1.36863,0.000993068,0.000993068,0.000993068
10,8344.14,1.58798,1.65785,1.68234,0.64873,0.59708,0.64856,0.32876,1.33733,1.91543,1.36202,0.000991232,0.000991232,0.000991232
11,9177.07,1.58073,1.64252,1.68098,0.67447,0.61947,0.66967,0.33574,1.34019,2.03358,1.35447,0.000989183,0.000989183,0.000989183
12,10009.8,1.57682,1.62459,1.67013,0.66767,0.6199,0.67336,0.34555,1.30561,1.81104,1.32909,0.000986922,0.000986922,0.000986922
13,10842.5,1.55519,1.57585,1.66393,0.67796,0.60629,0.67652,0.35027,1.29167,1.63314,1.32669,0.000984449,0.000984449,0.000984449
14,11675.3,1.54175,1.56914,1.65318,0.66755,0.62685,0.6798,0.35338,1.27883,1.78631,1.30805,0.000981765,0.000981765,0.000981765
15,12510.6,1.54307,1.55166,1.65059,0.66884,0.66007,0.69884,0.36512,1.27696,1.81149,1.30434,0.000978873,0.000978873,0.000978873
16,13343.4,1.53402,1.53262,1.64614,0.69271,0.64133,0.70097,0.37488,1.25706,1.90221,1.29137,0.000975773,0.000975773,0.000975773
17,14176.2,1.52374,1.50545,1.63032,0.69779,0.64013,0.71031,0.37735,1.25345,1.60278,1.28763,0.000972466,0.000972466,0.000972466
18,15008.8,1.51977,1.49135,1.6311,0.69156,0.65203,0.70976,0.3801,1.25134,1.45398,1.2883,0.000968955,0.000968955,0.000968955
19,15841.6,1.50784,1.47223,1.62591,0.71068,0.66288,0.7266,0.39353,1.22378,1.58061,1.27566,0.000965239,0.000965239,0.000965239
20,16674.2,1.49488,1.43721,1.6152,0.70995,0.67389,0.73883,0.40004,1.23125,1.3171,1.27049,0.000961322,0.000961322,0.000961322
21,17507.1,1.50004,1.4422,1.61087,0.70992,0.67134,0.73173,0.39658,1.23699,1.5429,1.2673,0.000957205,0.000957205,0.000957205
22,18339.3,1.49116,1.42013,1.6057,0.72726,0.6736,0.74236,0.40826,1.20186,1.37123,1.24725,0.000952889,0.000952889,0.000952889
23,19172.1,1.47536,1.41383,1.59521,0.72826,0.67928,0.74501,0.41082,1.2067,1.20805,1.24644,0.000948377,0.000948377,0.000948377
24,20004.9,1.4743,1.39987,1.59769,0.73453,0.67816,0.75116,0.41418,1.20486,1.27844,1.24834,0.000943671,0.000943671,0.000943671
25,20837.9,1.47687,1.37153,1.58668,0.73599,0.68411,0.75377,0.41827,1.21004,1.2687,1.24617,0.000938772,0.000938772,0.000938772
26,21670.3,1.46258,1.37766,1.58211,0.71968,0.69158,0.75398,0.4189,1.20302,1.26914,1.24186,0.000933683,0.000933683,0.000933683
27,22502.9,1.45811,1.36032,1.58063,0.73346,0.694,0.76063,0.42462,1.1983,1.18035,1.2433,0.000928405,0.000928405,0.000928405
28,23335.7,1.44826,1.3544,1.58215,0.74855,0.68276,0.76055,0.42585,1.19113,1.22247,1.23987,0.000922942,0.000922942,0.000922942
29,24168,1.44814,1.33526,1.57363,0.75388,0.69347,0.76575,0.42858,1.18968,1.1956,1.23779,0.000917296,0.000917296,0.000917296
30,25000.8,1.44252,1.31709,1.56382,0.74923,0.69394,0.76701,0.42927,1.18578,1.17202,1.23433,0.000911469,0.000911469,0.000911469
31,25833.6,1.43841,1.29954,1.5638,0.75848,0.69789,0.76926,0.43195,1.18357,1.10273,1.23168,0.000905463,0.000905463,0.000905463
32,26671.5,1.42656,1.27612,1.55351,0.74294,0.71097,0.77351,0.43917,1.17363,1.08926,1.22173,0.000899282,0.000899282,0.000899282
